	0.28	0.26	0.38	0.36	0.30	0.31	0.36	0.28	0.39	0.27	0.37	0.36	0.36	
	0.34	0.36	0.32	0.52	0.37	0.31	0.48	0.39	0.41	0.49	0.57	0.54	0.62	

C11	0.11	0.17	0.22	0.28	0.30	0.31	0.23	0.27	0.26	0.20	0.29	0.22	0.19	
	0.17	0.24	0.28	0.17	0.28	0.37	0.34	0.23	0.21	0.38	0.38	0.46	0.52	
	0.25	0.27	0.34	0.27	0.35	0.16	0.27	0.36	0.39	0.31	0.28	0.30	0.25	
	0.49	0.56	0.35	0.41	0.47	0.38	0.37	0.41	0.38	0.52	0.49	0.51	0.80	

C12	0.25	0.35	0.25	0.32	0.23	0.23	0.65	0.32	0.46	0.17	0.26	0.43	0.42	
	0.35	0.37	0.27	0.48	0.32	0.34	0.46	0.40	0.44	0.54	0.48	0.59	0.54	
	0.36	0.20	0.22	0.30	0.42	0.26	0.26	0.65	0.29	0.38	0.39	0.47	0.74	
	0.25	0.34	0.29	0.29	0.40	0.38	0.44	0.29	0.51	0.23	0.39	0.42	0.48	

C13	0.45	0.43	0.49	0.53	0.55	0.46	0.61	0.45	0.50	0.53	0.35	0.54	0.56	
	0.38	0.45	0.54	0.47	0.39	0.53	0.36	0.45	0.39	0.53	0.50	0.42	0.35	
	0.36	0.39	0.39	0.29	0.41	0.42	0.34	0.55	0.34	0.44	0.41	0.45	0.41	
	0.52	0.43	0.38	0.33	0.47	0.32	0.27	0.41	0.51	0.63	0.54	0.34	0.51	

C14	0.36	0.32	0.30	0.31	0.40	0.33	0.35	0.36	0.39	0.41	0.36	0.31	0.35	
	0.41	0.41	0.42	0.38	0.47	0.47	0.43	0.45	0.49	0.54	0.56	0.75	0.65	
	0.22	0.25	0.20	0.23	0.21	0.29	0.23	0.25	0.26	0.30	0.26	0.32	0.29	
	0.31	0.31	0.35	0.37	0.31	0.32	0.33	0.40	0.43	0.39	0.49	0.58	0.66	

C15	0.39	0.60	0.64	0.79	0.59	0.62	0.63	0.63	0.49	0.78	0.61	0.67	0.53	
	0.56	0.69	0.79	0.63	0.68	0.50	0.53	0.54	0.56	0.52	0.54	0.22	0.30	
	0.30	0.46	0.37	0.35	0.33	0.33	0.34	0.61	0.41	0.45	0.36	0.33	0.43	
	0.62	0.52	0.47	0.48	0.41	0.38	0.41	0.60	0.36	0.57	0.39	0.39	0.24	

C16	0.43	0.33	0.35	0.59	0.38	0.48	0.56	0.60	0.48	0.44	0.56	0.35	0.67	
	0.57	0.59	0.53	0.49	0.51	0.66	0.50	0.60	0.48	0.46	0.43	0.52	0.29	
	0.18	0.28	0.21	0.32	0.46	0.34	0.37	0.30	0.35	0.35	0.23	0.31	0.34	
	0.38	0.34	0.29	0.30	0.32	0.49	0.36	0.40	0.49	0.29	0.30	0.31	0.15	

C17	0.63	0.56	0.56	0.59	0.71	0.65	0.70	0.56	0.70	0.64	0.51	0.68	0.59	
	0.68	0.54	0.77	0.75	0.62	0.60	0.73	0.54	0.53	0.57	0.47	0.46	0.30	
	0.30	0.27	0.31	0.28	0.39	0.29	0.35	0.40	0.44	0.45	0.43	0.37	0.31	
	0.35	0.50	0.43	0.46	0.55	0.46	0.45	0.43	0.43	0.40	0.36	0.28	0.23	

C18	0.50	0.46	0.68	0.58	0.60	0.50	0.48	0.70	0.64	0.60	0.68	0.61	0.58	
	0.58	0.60	0.46	0.43	0.54	0.65	0.58	0.55	0.59	0.49	0.56	0.36	0.23	
	0.19	0.22	0.35	0.19	0.34	0.27	0.36	0.42	0.41	0.28	0.29	0.39	0.48	
	0.26	0.26	0.42	0.40	0.38	0.30	0.51	0.49	0.34	0.38	0.43	0.29	0.15	

C19	0.35	0.44	0.69	0.57	0.55	0.44	0.43	0.41	0.56	0.54	0.60	0.46	0.55	
	0.55	0.64	0.64	0.67	0.53	0.48	0.58	0.67	0.58	0.50	0.38	0.39	0.30	
	0.38	0.46	0.30	0.36	0.22	0.39	0.40	0.28	0.37	0.46	0.48	0.39	0.32	
	0.20	0.51	0.36	0.37	0.27	0.36	0.38	0.50	0.43	0.40	0.37	0.31	0.33	

C20	0.46	0.68	0.43	0.51	0.48	0.63	0.58	0.45	0.49	0.49	0.45	0.64	0.47	
	0.46	0.63	0.42	0.53	0.50	0.47	0.39	0.49	0.47	0.46	0.48	0.65	0.47	
	0.32	0.36	0.29	0.36	0.28	0.36	0.36	0.32	0.31	0.35	0.26	0.44	0.38	
	0.20	0.40	0.38	0.33	0.37	0.36	0.32	0.43	0.30	0.33	0.36	0.53	0.51	

C21	0.65	0.36	0.58	0.47	0.76	0.44	0.72	0.79	0.39	0.76	0.64	0.45	0.76	
	0.65	0.50	0.69	0.87	0.65	0.71	0.52	0.59	0.76	0.38	0.50	0.64	0.33	
	0.65	0.35	0.16	0.12	0.35	0.23	0.40	0.39	0.81	0.48	0.45	0.22	0.48	
	0.49	0.41	0.45	0.71	0.38	0.64	0.55	0.60	0.49	0.49	0.45	0.36	0.30	

C22	0.39	0.60	0.41	0.66	0.60	0.46	0.75	0.72	0.50	0.58	0.67	0.54	0.36	
	0.55	0.55	0.46	0.65	0.41	0.74	0.35	0.60	0.74	0.59	0.59	0.55	0.31	
	0.21	0.31	0.42	0.40	0.39	0.31	0.30	0.32	0.37	0.48	0.43	0.28	0.30	
	0.43	0.41	0.38	0.51	0.22	0.38	0.44	0.47	0.62	0.41	0.45	0.40	0.46	

C23	0.50	0.47	0.55	0.43	0.49	0.43	0.51	0.65	0.58	0.54	0.52	0.58	0.55	
	0.50	0.45	0.57	0.55	0.55	0.50	0.47	0.38	0.42	0.41	0.38	0.49	0.46	
	0.41	0.40	0.44	0.40	0.41	0.35	0.40	0.40	0.48	0.46	0.54	0.40	0.38	
	0.48	0.28	0.53	0.35	0.39	0.40	0.51	0.29	0.31	0.39	0.28	0.41	0.34	

C24	0.51	0.64	0.63	0.63	0.63	0.62	0.61	0.52	0.67	0.63	0.72	0.62	0.66	
	0.67	0.69	0.66	0.69	0.71	0.63	0.56	0.66	0.54	0.64	0.62	0.58	0.31	
	0.32	0.35	0.40	0.41	0.37	0.46	0.45	0.40	0.37	0.49	0.51	0.51	0.56	
	0.52	0.46	0.46	0.47	0.51	0.52	0.49	0.44	0.45	0.44	0.49	0.42	0.22	

C25	0.41	0.37	0.40	0.42	0.37	0.45	0.36	0.39	0.34	0.42	0.40	0.47	0.45	
	0.40	0.40	0.45	0.41	0.33	0.44	0.31	0.32	0.32	0.37	0.42	0.38	0.38	
	0.25	0.22	0.30	0.25	0.28	0.33	0.23	0.27	0.29	0.21	0.36	0.24	0.30	
	0.26	0.28	0.25	0.28	0.28	0.34	0.36	0.29	0.28	0.32	0.36	0.33	0.34	

C26	0.17	0.18	0.23	0.20	0.17	0.19	0.19	0.23	0.23	0.22	0.19	0.23	0.23	
	0.24	0.33	0.24	0.21	0.30	0.21	0.21	0.26	0.32	0.25	0.41	0.47	0.43	
	0.17	0.19	0.17	0.23	0.26	0.22	0.25	0.24	0.25	0.25	0.27	0.19	0.24	
	0.24	0.27	0.20	0.28	0.27	0.42	0.25	0.40	0.42	0.33	0.39	0.40	0.71	

C27	0.56	0.27	0.32	0.73	0.58	0.33	0.74	0.28	0.88	0.61	0.79	0.48	0.41	
	0.48	0.19	0.88	0.63	0.34	0.99	0.28	0.70	0.06	0.32	0.63	0.13	0.22	
	0.37	0.53	0.20	0.26	0.14	0.39	0.30	0.28	0.20	0.34	0.65	0.24	0.33	
	0.35	0.45	0.00	0.43	0.51	0.30	0.27	0.20	0.19	0.50	0.21	0.52	0.49	

